,open,high,low,close,volume
2015-07-20,212.6800,214.0000,211.2100,212.3900,2175357
2015-07-21,211.9800,212.7960,210.7500,211.5000,1985241
2015-07-22,211.8000,213.7200,211.7500,213.2500,2298414
2015-07-23,213.6600,214.6100,210.7000,211.0500,2192661
2015-07-24,211.4500,211.4500,206.9000,207.3500,2453830
2015-07-27,205.4500,205.8400,203.5000,205.0200,2910477
2015-07-28,207.1400,207.1800,204.6000,206.2400,2018072
2015-07-29,206.5700,208.1300,205.6700,206.8400,1987293
2015-07-30,206.0300,207.3500,205.1020,207.2000,1342938
2015-07-31,207.4000,207.4700,204.9000,205.0700,1644029
2015-08-03,205.7500,205.9500,202.8400,204.6900,2075450
2015-08-04,205.0100,207.1500,204.8000,205.1700,1451455
2015-08-05,206.9400,207.7800,204.9300,205.7000,1533353
2015-08-06,206.0000,206.7000,204.3000,205.0900,1484199
2015-08-07,205.3000,206.6399,202.3200,203.4400,1691113
2015-08-10,204.5900,206.5700,204.3400,205.9700,1640337
2015-08-11,203.5000,203.9200,200.6600,201.7000,2553963
2015-08-12,199.9000,201.5500,196.5800,201.1300,2789694
2015-08-13,200.7200,201.9500,199.5800,200.7400,3353617
2015-08-14,200.8300,202.5500,200.7400,202.0200,3567146
2015-08-17,201.0100,202.8600,199.7800,202.5700,1600670
2015-08-18,202.1200,203.1000,201.1800,201.1800,1665404
2015-08-19,200.0200,202.7500,199.1400,200.9500,2721310
2015-08-20,198.4300,199.2200,196.7500,196.7500,3140005
2015-08-21,193.6600,194.6000,187.5800,187.7400,5405718
2015-08-24,178.4600,186.8900,172.1000,179.4600,7183154
2015-08-25,185.8900,187.3300,177.7100,178.2200,7202971
2015-08-26,183.0400,185.0620,179.1100,184.4000,5537281
2015-08-27,186.8100,189.8600,185.4287,189.2100,3798472
2015-08-28,187.5900,188.8500,186.2600,187.7500,2413053
2015-08-31,187.6900,190.2500,187.1800,188.6000,2857064
2015-09-01,184.2400,186.4700,181.0800,182.1200,5493426
2015-09-02,184.8700,185.8200,182.5100,184.5100,3043453
2015-09-03,185.0000,187.8900,184.2800,185.0600,2902175
2015-09-04,182.2600,182.8300,179.1310,180.3800,4295588
2015-09-08,183.9100,186.3100,183.6500,185.8800,3060052
2015-09-09,189.5500,191.7500,185.2600,185.6800,4756838
2015-09-10,185.4500,187.8200,184.7700,185.9100,3041882
2015-09-11,185.4300,185.8200,183.3200,185.2700,2535906
2015-09-14,185.6000,185.8600,183.3000,183.9400,2746271
2015-09-15,184.7800,188.0200,184.1900,187.4500,3092831
